trade_name;substance_name;ean_code
Zoledronic acid Fresenius Kabi;Acidum zoledronicum;05909991023652
Zoledronic acid Fresenius Kabi;Acidum zoledronicum;05909991023669
Zoledronic acid Fresenius Kabi;Acidum zoledronicum;05909991023676
Edelan;Mometasoni furoas;05909991023683
Edelan;Mometasoni furoas;05909991023690
Nalgesin;Naproxenum natricum;05909991023744
Nalgesin;Naproxenum natricum;05909991023751
Nalgesin;Naproxenum natricum;05909991023768
Nalgesin;Naproxenum natricum;05909991023775
Nalgesin;Naproxenum natricum;05909991066178
Nalgesin Forte;Naproxenum natricum;05909991023782
Nalgesin Forte;Naproxenum natricum;05909991023799
Nalgesin Forte;Naproxenum natricum;05909991023805
Nalgesin Forte;Naproxenum natricum;05909991023829
Nalgesin Forte;Naproxenum natricum;05909991023836
Nalgesin Forte;Naproxenum natricum;05909991066185
Amlozek;Amlodipinum;05909990799817
Amlozek;Amlodipinum;05909990072866
Proxacin 1%;Ciprofloxacinum;05909990805518
Proxacin 1%;Ciprofloxacinum;05909990805617
Proxacin 1%;Ciprofloxacinum;05909990805624
Aprovel;Irbesartanum;05909990782512
Aprovel;Irbesartanum;05909990782529
Aprovel;Irbesartanum;05909990782536
Aprovel;Irbesartanum;05909990782543
Aprovel;Irbesartanum;05909990430178
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794812
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794829
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794836
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794843
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794850
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794867
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794874
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794881
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794898
AmBisome liposomal;Amphotericinum B;05909990800018
AmBisome liposomal;Amphotericinum B;05909990800025
Indapen SR;Indapamidum;05909990665891
Indapen SR;Indapamidum;05909990665907
Indapen SR;Indapamidum;05909990665938
Indapen SR;Indapamidum;05909990665945
Xyrem;Natrii hydroxybutyras;05909990022502
Filgrastim Hexal;Filgrastimum;05909990683307
Filgrastim Hexal;Filgrastimum;05909990683338
Filgrastim Hexal;Filgrastimum;05909990683345
Filgrastim Hexal;Filgrastimum;05909990683352
Exelon;Rivastigminum;05909990781416
Exelon;Rivastigminum;05909990781423
Exelon;Rivastigminum;05909990781430
Exelon;Rivastigminum;05909990000968
Ursopol;Acidum ursodeoxycholicum;05909990798216
Ursopol;Acidum ursodeoxycholicum;05909990798223
Bronchicum T;Thymi extractum fluidum;05909990789214
Bronchicum T;Thymi extractum fluidum;05909990789221
Arthryl Fast;Glucosamini sulfas + Lidocaini hydrochloridum;05909991029944
NovoNorm;Repaglinidum;05909990804016
NovoNorm;Repaglinidum;05909990804023
NovoNorm;Repaglinidum;05909990804030
Flegamina Classic Junior o smaku truskawkowym;Bromhexini hydrochloridum;05909990042876
Flegamina Classic Junior o smaku truskawkowym;Bromhexini hydrochloridum;05909990806416
Neomycinum Jelfa;Neomycini sulfas;05909990790913
Citocartin 100;Articaini hydrochloridum + Adrenalinum;05909990788613
Citocartin 100;Articaini hydrochloridum + Adrenalinum;05909990788620
Lacipil;Lacidipinum;05909990625680
Lacipil;Lacidipinum;05909990625697
Loratadyna Galena;Loratadinum;05909990795413
Loratadyna Galena;Loratadinum;05909990795420
Loratadyna Galena;Loratadinum;05909990670253
Loratadyna Galena;Loratadinum;05909990670260
Sortis 20;Atorvastatinum;05909990784714
Sortis 20;Atorvastatinum;05909990784721
Sortis 20;Atorvastatinum;05909990634545
Tramal Retard 200;Tramadoli hydrochloridum;05909990786411
Tramal Retard 200;Tramadoli hydrochloridum;05909990786428
Tramal Retard 200;Tramadoli hydrochloridum;05909990786435
Imovane;Zopiclonum;05909990172214
Imovane;Zopiclonum;05909990172221
Imovane;Zopiclonum;05909990419395
Imovane;Zopiclonum;05909991448615
Xanax SR;Alprazolamum;05909990793914
Xanax SR;Alprazolamum;05909990793921
Veral;Diclofenacum natricum;05909990797813
Veral;Diclofenacum natricum;05909991027605
Ifapidin;Ticlopidinum;05909990797110
Ifapidin;Ticlopidinum;05909990797127
Ifapidin;Ticlopidinum;05909990797134
Ifapidin;Ticlopidinum;05909990694846
Ifapidin;Ticlopidinum;05909990694853
Pelogel;Wodny wyciąg borowinowy;05909990795918
Lamitrin S;Lamotriginum;05909990787210
Lamitrin S;Lamotriginum;05909990787227
Lamitrin S;Lamotriginum;05909990422296
Lamitrin S;Lamotriginum;05909990422302
Lamitrin S;Lamotriginum;05909990691128
Lamitrin S;Lamotriginum;05909990691135
Lamitrin S;Lamotriginum;05909990691142
Lamitrin S;Lamotriginum;05909990691159
Lamitrin S;Lamotriginum;05909990691166
Cipramil;Citalopramum;05909990801510
Cipramil;Citalopramum;05909990801527
Clodivac;Vaccinum diphtheriae et tetani, antigenio minutum, adsorbatum Szczepionka przeciw błonicy i tężcowi, adsorbowana, o zmniejszonej zawartości antygenu;05909990003815
Clodivac;Vaccinum diphtheriae et tetani, antigenio minutum, adsorbatum Szczepionka przeciw błonicy i tężcowi, adsorbowana, o zmniejszonej zawartości antygenu;05909990003822
Singulair 5;Montelukastum;05909990795611
Singulair 5;Montelukastum;05909990795628
Singulair 5;Montelukastum;05909990650217
Exelon;Rivastigminum;05909990781218
Exelon;Rivastigminum;05909990781225
Exelon;Rivastigminum;05909990781232
Exelon;Rivastigminum;05909990000944
FANHDI;Zespół ludzkiego czynnika krzepnięcia VIII i ludzkiego czynnika von Willebranda;05909990783618
Arthrotec;Diclofenacum natricum + Misoprostolum;05909990796410
Arthrotec;Diclofenacum natricum + Misoprostolum;05909990796427
Arthrotec;Diclofenacum natricum + Misoprostolum;05909990796434
Arthrotec;Diclofenacum natricum + Misoprostolum;05909990796441
Bisocard;Bisoprololum;05909990804412
Bisocard;Bisoprololum;05909990804429
Bisocard;Bisoprololum;05909991273286
Coffepirine Tabletki od bólu głowy;Acidum acetylsalicylicum + Coffeinum;05909990211302
Coffepirine Tabletki od bólu głowy;Acidum acetylsalicylicum + Coffeinum;05909990211326
Coffepirine Tabletki od bólu głowy;Acidum acetylsalicylicum + Coffeinum;05909990945054
Coffepirine Tabletki od bólu głowy;Acidum acetylsalicylicum + Coffeinum;05907509848018
Coffepirine Tabletki od bólu głowy;Acidum acetylsalicylicum + Coffeinum;05907509848025
Coffepirine Tabletki od bólu głowy;Acidum acetylsalicylicum + Coffeinum;05909991534974
Detimedac 100 mg;Dacarbazinum;05909991029500
Oxycort A;Oxytetracyclinum + Hydrocortisoni acetas;05909990790814
Nicergolin;Nicergolinum;05909990785810
Bisocard;Bisoprololum;05909990804511
Bisocard;Bisoprololum;05909990804528
Bisocard;Bisoprololum;05909991273279
NovoSeven;Eptacogum alfa (activatum). Czynnik VII krzepnięcia krwi, rekombinowany, aktywowany;05909990646753
NovoSeven;Eptacogum alfa (activatum). Czynnik VII krzepnięcia krwi, rekombinowany, aktywowany;05909991029968
Zyrtec;Cetirizini dihydrochloridum;05909990781515
Zyrtec;Cetirizini dihydrochloridum;05909990781539
Zyrtec;Cetirizini dihydrochloridum;05909990781522
Bromocorn;Bromocriptinum;05909990211913
ABE;Acidum lacticum + Acidum salicylicum;05909990040919
ABE;Acidum lacticum + Acidum salicylicum;05909990625796
Detimedac 200 mg;Dacarbazinum;05909991029609
Acard;Acidum acetylsalicylicum;05909990672516
Acard;Acidum acetylsalicylicum;05909990672523
Acard;Acidum acetylsalicylicum;05900257101237
Acard;Acidum acetylsalicylicum;05900257101244
ACC mini;Acetylcysteinum;05909990331215
ACC optima;Acetylcysteinum;05909990691012
ACC optima;Acetylcysteinum;05909990691029
ACC optima;Acetylcysteinum;05909991578244
Acecor;Acebutololum;05909990666515
Acenocumarol WZF;Acenocoumarolum;05909990055715
Acerin;Acidum salicylicum + Acidum (S)-lacticum;05909990244218
Acesan;Acidum acetylsalicylicum;05909990032518
Acesan;Acidum acetylsalicylicum;05909991190507
Acesan;Acidum acetylsalicylicum;05909990032716
Acesan;Acidum acetylsalicylicum;05909990032723
Acesan;Acidum acetylsalicylicum;05909991190484
Acesan;Acidum acetylsalicylicum;05909991190491
Acidum folicum Richter;Acidum folicum;05909990109210
Acidum folicum Richter;Acidum folicum;05909990109319
Aclotin;Ticlopidini hydrochloridum;05909990667116
Aclotin;Ticlopidini hydrochloridum;05909990334971
Acodin 150 Junior;Dexpanthenolum + Dextromethorphani hydrobromidum;05909990031610
Acodin 150 Junior;Dexpanthenolum + Dextromethorphani hydrobromidum;05909990068197
Acodin Duo;Dexpanthenolum + Dextromethorphani hydrobromidum;05909990031719
Acodin Duo;Dexpanthenolum + Dextromethorphani hydrobromidum;05909990068180
Acodin Duo;Dexpanthenolum + Dextromethorphani hydrobromidum;05909991297985
Actilyse 10;Alteplasum;05909990688418
Actilyse 20;Alteplasum;05909990031412
Vaminolact;Preparat złożony;05909990655311
Vaminolact;Preparat złożony;05909990655328
Erdomed;Erdosteinum;05909990052929
Actilyse 50;Alteplasum;05909990024810
Addamel N;Roztwór pierwiastków śladowych;05909990271818
Addiphos;Kalii dihydrogenophosphas + Dinatrii phosphas dihydricus + Kalii hydroxidum;05909990271719
Ascorvita;Acidum ascorbicum;05909990688111
Ascorvita;Acidum ascorbicum;05909990688128
Adenocor;Adenosinum;05909990374717
Afronis;Preparat złożony;05909990006519
Afronis;Preparat złożony;05909990006526
Aescin;Escinum;05909990202119
Aescin;Escinum;05909990335558
Aescin;Escinum + Diethylamini salicylas + Heparinum;05909990126019
Aescin;Escinum + Diethylamini salicylas + Heparinum;05909990126026
Aesculan;Hippocastani corticis extractum siccum + Lidocaini hydrochloridum;05909990028115
Aethylum chloratum Filofarm;Ethylis chloridum;05909990210619
Aflegan;Ambroxoli hydrochloridum;05909990656318
Agapurin;Pentoxifyllinum;05909990234714
Akineton;Biperideni hydrochloridum;05909990371617
Akineton;Biperideni hydrochloridum;05909990193219
Aknemycin;Erythromycinum;05909990212019
Aknemycin;Erythromycinum;05909990212118
Aknemycin;Erythromycinum;05909990212125
Akneroxid 10;Benzoylis peroxidum;05909990664511
Akneroxid 10;Benzoylis peroxidum;05909990664528
Akneroxid 5;Benzoylis peroxidum;05909990664610
Aksoderm;Retinoli palmitas;05909990285228
Aksoderm;Retinoli palmitas;05909990285211
Aksoderm;Retinoli palmitas;05909990285235
Alantan-Plus;Allantoinum + Dexpanthenolum;05909990035014
Alantan-Plus;Allantoinum + Dexpanthenolum;05908235491172
Alantan-Plus;Allantoinum + Dexpanthenolum;05909990035113
Alantan-Plus;Allantoinum + Dexpanthenolum;05908235491165
Alantavit;Allantoinum + Cholecalciferolum + Retinolum;05909990203741
Alantavit;Allantoinum + Cholecalciferolum + Retinolum;05909990203734
Alantavit;Allantoinum + Cholecalciferolum + Retinolum;05909990203727
Alantavit;Allantoinum + Cholecalciferolum + Retinolum;05909990203710
Alcaine;Proxymetacaini hydrochloridum;05909990349111
Syrop z cebuli Ziołowa Tradycja;Allii cepae extractum;05909990200924
Syrop z cebuli Ziołowa Tradycja;Allii cepae extractum;05909990200917
Aldactone;Kalii canrenoas;05909990096114
Aldactone;Kalii canrenoas;04260056112638
Alexan;Cytarabinum;05909990664016
Alexan;Cytarabinum;05909990664023
Alexan;Cytarabinum;05909990640188
Alexan;Cytarabinum;05909990181216
Alexan;Cytarabinum;05909990181223
Alexan;Cytarabinum;05909990624935
Alka-Seltzer;Acidum acetylsalicylicum;05909990192717
Alka-Seltzer;Acidum acetylsalicylicum;05909990192724
Alka-Seltzer;Acidum acetylsalicylicum;05909990192748
Alka-Seltzer;Acidum acetylsalicylicum;05909990192731
Alkeran;Melphalanum;05909990283514
Tysabri;Natalizumabum;05909990084333
Allergovit;Alergoidy pyłków roślin;05909990001323
Allergovit;Alergoidy pyłków roślin;05909990001316
Roztwory do testów punktowych;Wyciągi alergenowe;05909990062119
Alliofil;Allii sativi bulbus + Urticae folium;05909990006212
Alliofil;Allii sativi bulbus + Urticae folium;05909990006229
Allupol;Allopurinolum;05909990109418
Alfadiol;Alfacalcidolum;05909990296811
Alfadiol;Alfacalcidolum;05909990296828
Alfadiol;Alfacalcidolum;05909990296910
Alfadiol;Alfacalcidolum;05909990296927
Alpicort E;Prednisolonum + Estradiolum + Acidum salicylicum;05909990280216
Alpicort;Prednisolonum + Acidum salicylicum;05909990299119
Alpicort;Prednisolonum + Acidum salicylicum;04048882001438
Aroma-Activ;Preparat złożony;05909990270118
Altacet;Aluminii acetotartras;05909990052110
Alugastrin;Dihydroxyaluminii natrii carbonas;05909990292028
Alugastrin;Dihydroxyaluminii natrii carbonas;05909990292011
Alugastrin;Dihydroxyaluminii natrii carbonas;05909990292035
Alugastrin;Dihydroxyaluminii natrii carbonas;05909990292042
Alugastrin;Dihydroxyaluminii natrii carbonas;05909991202675
Alugastrin;Dihydroxyaluminii natrii carbonas;05902020314707
Alugastrin;Dihydroxyaluminii natrii carbonas;05909990257911
Alugastrin;Dihydroxyaluminii natrii carbonas;05904194110581
Androcur;Cyproteroni acetas;05909990222117
Androcur;Cyproteroni acetas;05909990222124
Androcur;Cyproteroni acetas;05909990657476
Androcur;Cyproteroni acetas;05909990657483
Androcur;Cyproteroni acetas;05021691005193
Androcur;Cyproteroni acetas;05021691005124
Ambroksol Orifarm;Ambroxoli hydrochloridum;05909990367320
Ambroksol Orifarm;Ambroxoli hydrochloridum;05909990367313
Ambroksol Orifarm;Ambroxoli hydrochloridum;05711313006294
Ambrosol Teva;Ambroxoli hydrochloridum;05909990345410
Ambrosol Teva;Ambroxoli hydrochloridum;05909990086603
Aminomel 10 E;Produkt złożony;05909990261826
Aminomel 10 E;Produkt złożony;05909990261819
Aminomel 12,5 E;Produkt złożony;05909990261925
Aminomel 12,5 E;Produkt złożony;05909990261918
Aminomel Nephro;Preparat złożony;05909990261727
Aminomel Nephro;Preparat złożony;05909990261710
Aminoplasmal Hepa 10%;Produkt złożony;05909990308217
Aminosteril N-Hepa 8%;Preparat złożony;05909990226719
Amizepin;Carbamazepinum;05909990043927
Amizepin;Carbamazepinum;05909990043910
Acatar Acti Form;Phenylephrini hydrochloridum;05909991033460
Beto 200 ZK;Metoprololi succinas;05909997215945
Beto 200 ZK;Metoprololi succinas;05909997215952
Beto 200 ZK;Metoprololi succinas;05909997215969
Amoksiklav;Amoxicillinum + Acidum clavulanicum;05909990352920
Amoksiklav;Amoxicillinum + Acidum clavulanicum;05909990352913
Amoksiklav;Amoxicillinum + Acidum clavulanicum;05909991536640
Amoksiklav;Amoxicillinum + Acidum clavulanicum;05909990081912
Amoksiklav;Amoxicillinum + Acidum clavulanicum;05907626708899
Amol;Produkt złożony;05909990006410
Amol;Produkt złożony;05909990006427
Amol;Produkt złożony;05909990006434
Amotaks;Amoxicillinum;05909990691517
Amotaks;Amoxicillinum;05909991089108
Amotaks;Amoxicillinum;05909990691319
Amotaks;Amoxicillinum;05909991089153
Amotaks;Amoxicillinum;05904016013465
Ampicillin TZF;Ampicillinum;05909990343010
Ampicillin TZF;Ampicillinum;05909990343027
Ampicillin TZF;Ampicillinum;05909990343119
Ampicillin TZF;Ampicillinum;05909990343126
Ampicillin TZF;Ampicillinum;05909990375417
Ampicillin TZF;Ampicillinum;05909990211999
Anafranil;Clomipramini hydrochloridum;05909990294916
Anafranil;Clomipramini hydrochloridum;05909990295012
Anafranil SR 75;Clomipramini hydrochloridum;05909990295111
Parvoerysin;Szczepionka przeciw parwowirozie i różycy świń, inaktywowana;5909991029876
Parvoerysin;Szczepionka przeciw parwowirozie i różycy świń, inaktywowana;5909991029883
Parvoerysin;Szczepionka przeciw parwowirozie i różycy świń, inaktywowana;5909991029890
Parvoerysin;Szczepionka przeciw parwowirozie i różycy świń, inaktywowana;5909991029906
Parvoerysin;Szczepionka przeciw parwowirozie i różycy świń, inaktywowana;5909991029937
Anapran;Naproxenum natricum;05909990132119
Anapran;Naproxenum natricum;05909990132126
Anapran;Naproxenum natricum;05909990132133
Anapran;Naproxenum natricum;05909990132140
Anapran;Naproxenum natricum;05909990615438
Anapran;Naproxenum natricum;05909990615445
Anapran;Naproxenum natricum;05909990948536
Anapran;Naproxenum natricum;05909990132218
Anapran;Naproxenum natricum;05909990132225
Anapran;Naproxenum natricum;05909990132232
Anapran;Naproxenum natricum;05909990624515
Anapran;Naproxenum natricum;05909990948543
Szczepionka tężcowa adsorbowana (T);Vaccinum tetani adsorbatum Szczepionka przeciw tężcowi, adsorbowana;05909990003518
Ancotil;Flucitosinum;05909990335718
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990658213
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990658220
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990658237
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990658244
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990658251
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990658268
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990625659
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990625673
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05909990625666
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;05908229303788
Anticol;Disulfiramum;05909990244119
Anticol;Disulfiramum;05909990218639
Antidral;Aluminii chloridum;05909990126118
Antithrombin III NF Takeda;Antithrombinum III humanum densatum;05909990302413
Zibor;Bemiparinum natricum;05909990039364
Zibor;Bemiparinum natricum;05909990039289
Zibor;Bemiparinum natricum;05909990039296
Zibor;Bemiparinum natricum;05909990039302
Zibor;Bemiparinum natricum;05909990039333
Zibor;Bemiparinum natricum;05909990039340
Zibor;Bemiparinum natricum;05909990039357
Zibor;Bemiparinum natricum;05909990039371
Zibor;Bemiparinum natricum;05909990039388
Zibor;Bemiparinum natricum;05909990039395
Zibor;Bemiparinum natricum;05909990039401
Zibor;Bemiparinum natricum;05909990039463
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella Enteritidis i Salmonella Typhimurium, żywa;5909990924134
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella Enteritidis i Salmonella Typhimurium, żywa;5909990924141
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella Enteritidis i Salmonella Typhimurium, żywa;5909990924158
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella Enteritidis i Salmonella Typhimurium, żywa;5909990924165
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella Enteritidis i Salmonella Typhimurium, żywa;5909991559953
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella Enteritidis i Salmonella Typhimurium, żywa;5909990924134
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella Enteritidis i Salmonella Typhimurium, żywa;5909990924141
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella Enteritidis i Salmonella Typhimurium, żywa;4029989500567
Antypot;Acidum boricum + Acidum salicylicum;05909990169412
Carboplatin Pfizer;Carboplatinum;05909990477418
Carboplatin Pfizer;Carboplatinum;05909990477425
Carboplatin Pfizer;Carboplatinum;05909990477432
Sulpiryd Teva;Sulpiridum;05909990159529
Sulpiryd Teva;Sulpiridum;05909990159512
Apap;Paracetamolum;05909990296026
Apap;Paracetamolum;05909990296033
Apap;Paracetamolum;05909990296040
Apap;Paracetamolum;05909990296057
Apap;Paracetamolum;05909990296064
Apap;Paracetamolum;05909990296071
Apap;Paracetamolum;05909990610082
Apap;Paracetamolum;05909990610099
Apap;Paracetamolum;05909990664559
Apap;Paracetamolum;05909990296019
Apap;Paracetamolum;05909990764235
Apap;Paracetamolum;05907377139348
Apap;Paracetamolum;05903031286694
Aphtin Aflofarm;Natrii tetraboras;05909990271412
Aphtin;Natrii tetraboras;05909990259021
Aphtin;Natrii tetraboras;05909990259014
Aphtin;Natrii tetraboras;05909990269815
Aphtin;Natrii tetraboras;05909990223817
Aphtin;Natrii tetraboras;05909990223824
Aphtin;Natrii tetraboras;05909990159826
Aphtin;Natrii tetraboras;05909990159840
Aphtin;Natrii tetraboras;05909990159857
Aphtin;Natrii tetraboras;05909990159864
Aphtin;Natrii tetraboras;05909990159819
Aphtin;Natrii tetraboras;05909990159833
Apitussic;Sulfogaiacolum;05909990049912
Aqua pro injectione Polpharma;Aqua ad iniectabile;05909990248216
Aqua pro injectione Polpharma;Aqua ad iniectabile;05909990248230
Aqua pro injectione Polpharma;Aqua ad iniectabile;05909990248223
Aqua pro injectione Polpharma;Aqua ad iniectabile;05909990248247
Arduan;Pipecuronii bromidum;05909990116713
Arechin;Chloroquini phosphas;05909990061914
Arechin;Chloroquini phosphas;05909991139582
Argol Essenza Balsamica;Preparat ziołowy;05909990664856
Argol Essenza Balsamica;Preparat ziołowy;05909990664818
Argol Essenza Balsamica;Preparat ziołowy;05909990664825
Argol Essenza Balsamica;Preparat ziołowy;05909990664832
Argol Essenza Balsamica;Preparat ziołowy;05909990615551
Argol Essenza Balsamica;Preparat ziołowy;05909990615568
Argol Essenza Balsamica;Preparat ziołowy;05909990615544
Argol Essenza Balsamica;Preparat ziołowy;05909990664849
Argosulfan;Sulfathiazolum argentum;05909990237326
Argosulfan;Sulfathiazolum argentum;05909990237319
Argosulfan;Sulfathiazolum argentum;05904398500010
Aromatol;Preparat złożony;05909990261512
Aromatol;Preparat złożony;05909990829439
Aromatol;Preparat złożony;05909990829446
Artemisol;Produkt ziołowy;05909990007318
Ascofer;Ferrosi gluconas;05909990325313
Asmag;Magnesii hydroaspartas;05909990262915
Asmag forte;Magnesii hydrogenophosphas;05909990263011
Aspargin;Magnesii hydrogenoaspartas + Kalii hydrogenoaspartas;05909990210718
Aspargin;Magnesii hydrogenoaspartas + Kalii hydrogenoaspartas;05909990212347
Aspargin;Magnesii hydrogenoaspartas + Kalii hydrogenoaspartas;05909990212354
Aspargin;Magnesii hydrogenoaspartas + Kalii hydrogenoaspartas;05909990210725
Texibax;Esomeprazolum;05909990926725
Texibax;Esomeprazolum;05909991268275
Aspimag;Acidum acetylsalicylicum + Magnesii oxidum;05909990011612
Aspimag;Acidum acetylsalicylicum + Magnesii oxidum;05909990011629
Aspimag;Acidum acetylsalicylicum + Magnesii oxidum;05909990011636
Aspirin;Acidum acetylsalicylicum;05909990192618
Aspirin;Acidum acetylsalicylicum;05909990192625
Aspirin;Acidum acetylsalicylicum;05909990192632
Aspirin C;Acidum acetylsalicylicum + Acidum ascorbicum;05909990192816
Aspirin C;Acidum acetylsalicylicum + Acidum ascorbicum;05909990192823
Aspirin C;Acidum acetylsalicylicum + Acidum ascorbicum;05908229303566
Aspirin Cardio;Acidum acetylsalicylicum;05909990684120
Aspirin Cardio;Acidum acetylsalicylicum;05909990684137
Aspirin Cardio;Acidum acetylsalicylicum;05909990684144
Aspirin Cardio;Acidum acetylsalicylicum;05909990684113
Aspirin Cardio;Acidum acetylsalicylicum;05909990700363
Aspirin Cardio;Acidum acetylsalicylicum;05908229303481
Aspirin Cardio;Acidum acetylsalicylicum;05908229303498
Glucosum 20% Fresenius;Glucosum;05909990250011
Glucosum 20% Fresenius;Glucosum;05909990250028
Glucosum 20% Fresenius;Glucosum;05909990250035
Glucosum 20% Fresenius;Glucosum;05909990250042
Glucosum 20% Fresenius;Glucosum;05909990250059
Glucosum 20% Fresenius;Glucosum;05909990250066
Glucosum 20% Fresenius;Glucosum;05909990033485
Glucosum 20% Fresenius;Glucosum;05909991454128
Glucosum 20% Fresenius;Glucosum;05909991454135
Glucosum 20% Fresenius;Glucosum;05909991454142
Glucosum 20% Fresenius;Glucosum;05909991454159
Atarax;Hydroxyzini hydrochloridum;05909990294015
Atarax;Hydroxyzini hydrochloridum;05909990294114
Atecortin;Oxytetracyclinum + Polymyxini B sulfas + Hydrocortisoni acetas;05909990124718
Atropinum sulfuricum WZF 1%;Atropini sulfas;05909990243112
Atrovent;Ipratropii bromidum;05909990322114
Augmentin;Amoxicillinum + Acidum clavulanicum;05909990064113
Augmentin;Amoxicillinum + Acidum clavulanicum;05909990064120
Augmentin;Amoxicillinum + Acidum clavulanicum;05909990368211
Augmentin;Amoxicillinum + Acidum clavulanicum;05909990368228
Augmentin;Amoxicillinum + Acidum clavulanicum;05909990368235
Augmentin;Amoxicillinum + Acidum clavulanicum;05909990368242
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991093846
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991093853
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991093860
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991093877
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991093884
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991093891
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991093907
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991093938
Augmentin;Amoxicillinum + Acidum clavulanicum;05909991094461
Augmentin;Amoxicillinum + Acidum clavulanicum;05901549673005
Aurorix;Moclobemidum;05909990094813
Aurorix;Moclobemidum;05909990094820
Aviomarin;Dimenhydrinatum;05909990324712
Aviomarin;Dimenhydrinatum;05909990324729
Aviomarin;Dimenhydrinatum;05908289660180
Neoazarina;Thymi herba pulveratum + Codeini phosphas hemihydricus;05909990270910
Neoazarina;Thymi herba pulveratum + Codeini phosphas hemihydricus;05906014010217
Azucalen;Chamomillae anthodii extractum fluidum + Calendulae floris extractum fluidum;05909990007516
Azulan;Chamomillae anthodii extractum fluidum;05909990216444
Azulan;Chamomillae anthodii extractum fluidum;05909990216420
Azulan;Chamomillae anthodii extractum fluidum;05909990216437
Azulan;Chamomillae anthodii extractum fluidum;05909990216413
Azulan;Chamomillae anthodii extractum fluidum;05909990216451
Azulan;Chamomillae anthodii extractum fluidum;05909990216468
Azulan;Matricariae floris extractum fluidum;05909990007912
Azulan;Matricariae floris extractum fluidum;05909990007936
Azulan;Matricariae floris extractum fluidum;05909990007929
Baclofen Polpharma;Baclofenum;05909990033812
Baclofen Polpharma;Baclofenum;05909991423315
Bactrim;Sulfamethoxazolum + Trimethoprimum;05909990312610
Bactrim;Sulfamethoxazolum + Trimethoprimum;05909990276219
Bactrim Forte;Sulfamethoxazolum + Trimethoprimum;05909990312719
Bactroban;Mupirocinum;05909990071418
Bactroban;Mupirocinum;05909990362318
Bals Sulphur żel;Preparat złożony;05909990354511
Balsolan;Balsamum peruvianum;05909990363339
Balsolan;Balsamum peruvianum;05909990363315
Balsolan;Balsamum peruvianum;05909990363322
Barium sulfuricum Medana;Barii sulfas;05909990276516
Barium sulfuricum Medana;Barii sulfas;05909990044955
Barium sulfuricum Medana;Barii sulfas;05909990044948
Debridat;Trimebutinum;05909990675012
Bellapan;Zespół alkaloidów tropanowych w przeliczeniu na Atropini sulfas (atropiny siarczan);05909990263110
Bellergot;Ergotamini tartras + Atropinum + Phenobarbitalum;05909990336418
Bengay Maść Przeciwbólowa;Methylis salicylas + Mentholum;05909990161614
Bengay Maść Przeciwbólowa;Methylis salicylas + Mentholum;05909990760497
Benalapril 5;Enalaprili maleas;05909990168514
Benalapril 5;Enalaprili maleas;05909990168538
Benalapril 5;Enalaprili maleas;05909990168521
Benzacne;Benzoylis peroxidum;05909990232314
